"year","country","abbr","eu","order","val","avg"
"2008","Україна","У","no","1","0.9","9.4"
"2010","Україна","У","no","1","0.8","10"
"2012","Україна","У","no","1","1.1","10.1"
"2014","Україна","У","no","1","0.7","10.2"
"2008","Греція","Г","old","3","9","9.4"
"2010","Греція","Г","old","3","8.7","10"
"2012","Греція","Г","old","3","7.9","10.1"
"2014","Греція","Г","old","3","6.8","10.2"
"2008","Естонія","Е","new","4","5.4","9.4"
"2010","Естонія","Е","new","4","4.8","10"
"2012","Естонія","Е","new","4","5.7","10.1"
"2014","Естонія","Е","new","4","6.3","10.2"
"2008","Польща","П","new","12","3.8","9.4"
"2010","Польща","П","new","12","3.9","10"
"2012","Польща","П","new","12","3.8","10.1"
"2014","Польща","П","new","12","3.9","10.2"
"2008","Чехія","Ч","new","19","5.8","9.4"
"2010","Чехія","Ч","new","19","5.9","10"
"2012","Чехія","Ч","new","19","6.4","10.1"
"2014","Чехія","Ч","new","19","6.2","10.2"
"2008","Іспанія","І","old","6","9.8","9.4"
"2010","Іспанія","І","old","6","10.1","10"
"2012","Іспанія","І","old","6","11","10.1"
"2014","Іспанія","І","old","6","9.7","10.2"